Date,Close,yhat
5/22/2013,5.82,(3.38)
5/23/2013,6.18,(3.64)
5/24/2013,6.47,(3.68)
5/28/2013,7.36,(2.18)
5/29/2013,6.98,(1.78)
5/30/2013,7,(1.88)
5/31/2013,6.52,(1.78)
6/3/2013,6.17,0.10
6/4/2013,6.32,(0.06)
6/5/2013,6.36,0.33
6/6/2013,6.49,0.20
6/7/2013,6.8,0.25
6/10/2013,6.67,1.95
6/11/2013,6.3,1.72
6/12/2013,6.52,2.06
6/13/2013,6.55,1.88
6/14/2013,6.69,1.90
6/17/2013,6.81,3.62
6/18/2013,6.89,3.44
6/19/2013,6.98,3.85
6/20/2013,6.71,3.75
6/21/2013,6.64,3.88
6/24/2013,6.77,5.98
6/25/2013,6.83,5.93
6/26/2013,7.05,6.47
6/27/2013,7.28,6.50
6/28/2013,7.16,6.74
7/1/2013,7.81,9.04
7/2/2013,7.85,9.00
7/3/2013,7.68,9.52
7/5/2013,8.01,9.64
7/8/2013,8.11,11.45
7/9/2013,8.23,11.19
7/10/2013,8.15,11.46
7/11/2013,8.37,11.16
7/12/2013,8.66,11.02
7/15/2013,8.48,11.93
7/16/2013,7.27,11.38
7/17/2013,8.02,11.37
7/18/2013,7.94,10.81
7/19/2013,7.98,10.44
7/22/2013,8.16,10.85
7/23/2013,8.18,10.20
7/24/2013,8.11,10.13
7/25/2013,8.27,9.55
7/26/2013,8.63,9.20
7/29/2013,8.97,9.86
7/30/2013,8.78,9.35
7/31/2013,8.95,9.45
8/1/2013,9.04,9.05
8/2/2013,9.2,8.88
8/5/2013,9.65,10.10
8/6/2013,9.48,9.76
8/7/2013,8.95,10.01
8/8/2013,10.23,9.74
8/9/2013,10.2,9.68
8/12/2013,9.83,11.07
8/13/2013,9.7,10.73
8/14/2013,9.29,10.96
8/15/2013,9.31,10.65
8/16/2013,9.47,10.52
8/19/2013,9.66,11.66
8/20/2013,9.97,11.23
8/21/2013,9.86,11.36
8/22/2013,10.47,10.97
8/23/2013,10.79,10.77
8/26/2013,10.95,11.80
8/27/2013,11.13,11.37
8/28/2013,11.1,11.54
8/29/2013,11.07,11.20
8/30/2013,11.27,11.08
9/3/2013,11.26,12.15
9/4/2013,11.37,12.45
9/5/2013,11.33,12.25
9/6/2013,11.13,12.26
9/9/2013,10.71,13.91
9/10/2013,11.09,13.67
9/11/2013,10.9,13.99
9/12/2013,11,13.77
9/13/2013,11.04,13.73
9/16/2013,11.11,14.99
9/17/2013,11.08,14.54
9/18/2013,11.08,14.62
9/19/2013,11.86,14.13
9/20/2013,12.23,13.80
9/23/2013,12.07,14.10
9/24/2013,12.16,13.33
9/25/2013,12.35,13.10
9/26/2013,12.58,12.32
9/27/2013,12.73,11.71
9/30/2013,12.89,11.42
10/1/2013,12.87,10.54
10/2/2013,12.06,10.25
10/3/2013,11.55,9.47
10/4/2013,12.07,8.91
10/7/2013,12.2,9.07
10/8/2013,11.65,8.43
10/9/2013,11.25,8.42
10/10/2013,11.53,7.94
10/11/2013,11.91,7.72
10/14/2013,11.98,8.95
10/15/2013,12.26,8.66
10/16/2013,12.24,8.99
10/17/2013,12.19,8.82
10/18/2013,12.23,8.88
10/21/2013,11.51,10.72
10/22/2013,11.44,10.55
10/23/2013,10.97,10.94
10/24/2013,11.54,10.80
10/25/2013,11.31,10.84
10/28/2013,10.86,12.39
10/29/2013,10.96,12.06
10/30/2013,10.61,12.27
10/31/2013,10.66,11.93
11/1/2013,10.81,11.77
11/4/2013,11.68,12.74
11/5/2013,11.79,12.25
11/6/2013,10.08,12.33
11/7/2013,9.32,11.89
11/8/2013,9.2,11.66
11/11/2013,9.65,12.63
11/12/2013,9.19,12.21
11/13/2013,9.25,12.39
11/14/2013,9.17,12.08
11/15/2013,9.03,11.99
11/18/2013,8.11,13.49
11/19/2013,8.41,13.26
11/20/2013,8.07,13.61
11/21/2013,8.14,13.45
11/22/2013,8.09,13.49
11/25/2013,8.06,15.19
11/26/2013,8.03,14.95
11/27/2013,8.46,15.25
11/29/2013,8.49,14.90
12/2/2013,8.28,15.98
12/3/2013,9.65,15.46
12/4/2013,9.26,15.48
12/5/2013,9.37,14.93
12/6/2013,9.16,14.54
12/9/2013,9.44,14.79
12/10/2013,9.48,14.04
12/11/2013,9.31,13.87
12/12/2013,9.83,13.16
12/13/2013,9.84,12.67
12/16/2013,9.86,12.90
12/17/2013,10.16,12.26
12/18/2013,9.87,12.23
12/19/2013,9.38,11.73
12/20/2013,9.55,11.48
12/23/2013,9.57,12.62
12/24/2013,10.09,12.32
12/26/2013,10.37,12.47
12/27/2013,10.07,12.53
12/30/2013,10.16,14.46
12/31/2013,10.03,14.33
1/2/2014,10.01,14.68
1/3/2014,9.97,14.76
1/6/2014,9.8,16.38
1/7/2014,9.96,16.04
1/8/2014,10.09,16.23
1/9/2014,9.84,15.84
1/10/2014,9.71,15.59
1/13/2014,9.29,16.15
1/14/2014,10.75,15.46
1/15/2014,10.94,15.32
1/16/2014,11.4,14.62
1/17/2014,11.33,14.10
1/21/2014,11.78,13.38
1/22/2014,11.9,13.22
1/23/2014,12.1,12.58
1/24/2014,11.64,12.18
1/27/2014,11.31,12.87
1/28/2014,11.89,12.42
1/29/2014,11.68,12.60
1/30/2014,12.19,12.31
1/31/2014,12.09,12.28
2/3/2014,11.81,14.00
